,PKB14,PKB42,PKB48,PKB51,PKB69,PKB98,PKB106,PKB130,PKB206,PKB233
PKB14,49.0,22.0,30.0,27.0,29.0,31.0,27.0,23.0,21.0,29.0
PKB42,22.0,46.0,29.0,27.0,28.0,26.0,29.0,26.0,18.0,33.0
PKB48,30.0,29.0,75.0,37.0,39.0,50.0,39.0,31.0,33.0,45.0
PKB51,27.0,27.0,37.0,60.0,39.0,32.0,37.0,27.0,30.0,39.0
PKB69,29.0,28.0,39.0,39.0,77.0,38.0,42.0,29.0,30.0,41.0
PKB98,31.0,26.0,50.0,32.0,38.0,77.0,38.0,29.0,33.0,46.0
PKB106,27.0,29.0,39.0,37.0,42.0,38.0,75.0,29.0,30.0,48.0
PKB130,23.0,26.0,31.0,27.0,29.0,29.0,29.0,48.0,21.0,29.0
PKB206,21.0,18.0,33.0,30.0,30.0,33.0,30.0,21.0,56.0,32.0
PKB233,29.0,33.0,45.0,39.0,41.0,46.0,48.0,29.0,32.0,90.0
